NULL,CIRUGIA PLASTICA,07,ABDOMINOPLASTIA
,OTRORRINOLARINGOLOGIA,14,AMIGDALECTOMIA
,TRAUMATOLOGIA Y ORTOPEDIA,15,AMPUTACION DE FALANGE
,TRAUMATOLOGIA Y ORTOPEDIA,15,AMPUTACION DE MIEMBRO INFERIOR 
,TRAUMATOLOGIA Y ORTOPEDIA,15,AMPUTACION DE MIEMBRO SUPERIOR
,CIRUGIA GENERAL,03,APENDICECTOMIA
,CIRUGIA GENERAL,03,APENDICECTOMIA LAPAROSCOPICA
,TRAUMATOLOGIA Y ORTOPEDIA,15,ARTROPLASTIA DE CADERA
,TRAUMATOLOGIA Y ORTOPEDIA,15,ARTROPLASTIA DE RODILLA
,TRAUMATOLOGIA Y ORTOPEDIA,15,ARTROPLASTIA DE TOBILLO
,TRAUMATOLOGIA Y ORTOPEDIA,15,ARTROSCOPIA DE CADERA
,TRAUMATOLOGIA Y ORTOPEDIA,15,ARTROSCOPIA DE HOMBRO
,TRAUMATOLOGIA Y ORTOPEDIA,15,ARTROSCOPIA DE RODILLA
,CIRUGIA PLASTICA,07,ASEO QUIRURGICO
,CIRUGIA BARIATRICA,02,BALON GASTRICO
,CIRUGIA BARIATRICA,02,BANDA GASTRICA LAPAROSCOPICA
,UROLOGIA,17,BIOPSIA DE PROSTATA
,NEUROCIRUGIA,13,BLOQUEO TERAPEUTICO
,CIRUGIA BARIATRICA,02,BY PASS GASTRICO
,CIRUGIA BARIATRICA,02,BY PASS GASTRICO CON ENGRAPADORA
,UROLOGIA,21,CIRCUNSICION ADULTO 
,UROLOGIA,22,CIRCUNSICION PEDIATRICA
,UROLOGIA,23,CISTO URETEROSCOPIA
,CIRUGIA GENERAL,03,COLECISTECTOMIA
,CIRUGIA GENERAL,03,COLECISTECTOMIA LAPAROSCOPIA
,MEDICINA INTERNA,12,COLOCACION DE CATETER CENTRAL
,UROLOGIA,27,COLOCACION DE CATETER JJ
,MEDICINA INTERNA,12,COLOCACION DE CATETER MAHUKAR
,MEDICINA INTERNA,12,COLOCACION DE CATETER PICC
,MEDICINA INTERNA,12,COLOCACION DE CATETER TENCKHOFF
,MEDICINA INTERNA,12,COLOCACION DE PORT A CATH
,CIRUGIA PLASTICA,07,COLOCACION O RETIRO DE IMPLANTES GLUTEOS
,CIRUGIA PLASTICA,07,COLOCACION O RETIRO DE IMPLANTES MAMARIOS
,GASTROENTEROLOGIA,10,COLONOSCOPIA
,NEUROCIRUGIA,13,CRANEOTOMIA
,NEUROCIRUGIA,13,DESCOMPRESION LUMBAR 
,CIRUGIA GENERAL,03,DIVERTICULECTOMIA
,GASTROENTEROLOGIA,10,ENDOSCOPIA
,ANGIOLOGIA,01,FAVI
,CIRUGIA GENERAL,03,HEMICOLECOLECTOMIA
,COLOPROCTOLOGIA,08,HEMORROIDECTOMIA
,CIRUGIA GENERAL,03,HERNIOPLASTIA HIATAL
,CIRUGIA GENERAL,03,HERNIOPLASTIA INGUINAL
,CIRUGIA GENERAL,03,HERNIOPLASTIA INGUINAL LAPAROSCOPICA
,CIRUGIA GENERAL,03,HERNIOPLASTIA INGUINAL LAPAROSCOPICA CON MALLA
,CIRUGIA GENERAL,03,HERNIOPLASTIA VENTRAL
,GINECOLOGIA,11,HISTERECTOMIA
,GINECOLOGIA,11,HISTEROSCOPIA  DIAGNOSTICA
,GINECOLOGIA,11,HISTEROSCOPIA TERAPEUTICA Y DIAGNOSTICA
,NEUROCIRUGIA,13,INSTRUMENTACION LUMBAR
,GINECOLOGIA,11,LABIOPLASTIA
,CIRUGIA GENERAL,03,LAPAROSCOPIA DIAGNOSTICA
,CIRUGIA PLASTICA,07,LIPOESCULTURA
,CIRUGIA PLASTICA,07,LIPOSUCCION
,CIRUGIA PLASTICA,07,LIPOSUCCION CON  IMPLANTES GLUTEOS
,CIRUGIA BARIATRICA,02,MANGA GASTRICA LAPAROSCOPICA
,TRAUMATOLOGIA Y ORTOPEDIA,15,OSTEOSINTESIS CON ANESTESIA GENERAL
,TRAUMATOLOGIA Y ORTOPEDIA,15,OSTEOTOMIA PARA HALLUX VALGUS
,GINECOLOGIA,11,PLASTIA VAGINAL
,GINECOLOGIA,11,QUISTECTIOMIA
,TRAUMATOLOGIA Y ORTOPEDIA,15,RAFI DE HUESOS CORTOS
,TRAUMATOLOGIA Y ORTOPEDIA,15,RAFI DE HUESOS LARGOS
,GINECOLOGIA,11,RESECCION DE POLIPO DEL CUERPO DEL UTERO
,OTRORRINOLARINGOLOGIA,14,RETIRO ADENOIDES
,UROLOGIA,16,RETIRO DE CATETER JJ
,TRAUMATOLOGIA Y ORTOPEDIA,15,RETIRO DE MATERIAL DE OSTEOSISNTESIS
,OTRORRINOLARINGOLOGIA,14,RINOSEPTUMPLASTIA
,CIRUGIA PLASTICA,07,ROTACION DE COLGAJO
,UROLOGIA,16,RTU
,ANGIOLOGIA,01,SAFENECTOMIA 
,CIRUGIA GENERAL,03,FUNDIPLICATURA DE NISSEN
,CIRUGIA GENERAL,03,HERNIOPLASTIA VENTRAL LAPAROCOPICA
,OTRORRINOLARINGOLOGIA,14,TIROIDECTOMIA
,OTRORRINOLARINGOLOGIA,14,ENDOSOCOPIA NASAL
,UROLOGIA,16,UTEREROLITOTRIPSIA
,UROLOGIA,16,CISTOLITOTRIPSIA
,UROLOGIA,16,URETEROTOMIA
,NEUROCIRUGIA,13,VERTEBROPLASTIA
